"key","no_rows"
"1_1",112
"1_2",92
"1_3",76
"1_4",70
"2_1",64
"2_2",76
"2_3",84
"2_4",70
"3_1",85
"3_2",100
"3_3",68
"3_4",99
"4_1",93
"4_2",75
"4_3",89
"4_4",79
"5_1",81
"5_2",79
"5_3",87
"5_4",90
"6_1",68
"6_2",74
"6_3",76
"6_4",66
"7_1",76
"7_2",51
"7_3",79
"8_1",86
"8_2",81
"8_3",74
"8_4",41
