"key","time","date","site","transect","flight_time","depth","heading","temp","groundSpeed","lat","lon","DVLx","DVLy","altitude","seq","DVLlat","DVLlon","EucDIS","width","height","area"
"1_1","14:15:01","9/13/2023",1,1,"00:03:45",-5.15112,266,56.57,0,0,0,0.1,-0.1,0.86,4.26666666666667,47.630268,-122.3982391,NA,2.4113510664993,1.05401735560068,2.54160587453648
"1_1","14:15:09","9/13/2023",1,1,"00:03:53",-5.21208,265,56.53,0,0,0,0.2,-0.5,0.74,4.4,47.6302683593212,-122.398241232748,0,2.07488347582498,0.906945166447099,1.88180553934042
"1_1","14:15:17","9/13/2023",1,1,"00:04:01",-5.1816,264,56.5,0.1,0,0,-0.3,-2.4,0.81,4.53333333333333,47.630266562715,-122.398251363302,0.120173153423837,2.27115623705166,0.99273727678669,2.25466145792777
"1_1","14:15:25","9/13/2023",1,1,"00:04:09",-5.21208,264,56.44,0,0,0,-0.3,-3.7,0.83,4.66666666666667,47.630266562715,-122.398258294733,0.0400577177718134,2.32723416883072,1.01724930831229,2.36737734852377
"1_1","14:15:33","9/13/2023",1,1,"00:04:17",-5.21208,264,56.43,0,0,0,-0.2,-4.6,0.83,4.8,47.6302669220363,-122.398263093417,0.0400577175173105,2.32723416883072,1.01724930831229,2.36737734852377
"1_1","14:15:41","9/13/2023",1,1,"00:04:25",-5.21208,264,56.41,0.1,0,0,0,-6,0.84,4.93333333333333,47.6302676406788,-122.398270558035,0.120173150617079,2.35527313472024,1.02950532407509,2.42476623184551
"1_1","14:15:49","9/13/2023",1,1,"00:04:33",-5.21208,265,56.37,0.1,0,0,-0.2,-7.8,0.84,5.06666666666667,47.6302669220363,-122.398280155402,0.126635023109643,2.35527313472024,1.02950532407509,2.42476623184551
"1_1","14:15:57","9/13/2023",1,1,"00:04:41",-5.21208,265,56.37,0.1,0,0,-0.3,-9.7,0.83,5.2,47.630266562715,-122.398290285956,0.0801154351815226,2.32723416883072,1.01724930831229,2.36737734852377
"1_1","14:16:05","9/13/2023",1,1,"00:04:49",-5.21208,265,56.35,0.1,0,0,-0.5,-12,0.85,5.33333333333333,47.6302658440725,-122.398302549258,0.126635025512278,2.38331210060977,1.04176133983788,2.48284240718308
"1_1","14:16:13","9/13/2023",1,1,"00:04:57",-5.21208,265,56.34,0.1,0,0,-0.6,-14.7,0.87,5.46666666666667,47.6302654847513,-122.398316945308,0.120173155190022,2.43939003238882,1.06627337136348,2.6010566339057
"1_1","14:16:21","9/13/2023",1,1,"00:05:05",-5.1816,265,56.35,0.1,0,0,-0.7,-17.3,0.9,5.6,47.6302651254301,-122.398330808171,0.126635025815006,2.5235069300574,1.10304141865188,2.78353266410836
"1_1","14:16:29","9/13/2023",1,1,"00:05:13",-5.1816,265,56.34,0.1,0,0,-1,-20.1,0.89,5.73333333333333,47.6302640474663,-122.398345737408,0.160230875534921,2.49546796416788,1.09078540288908,2.72202002869165
"1_1","14:16:37","9/13/2023",1,1,"00:05:21",-5.1816,265,56.34,0.1,0,0,-1.2,-22.5,0.92,5.86666666666667,47.6302633288239,-122.398358533897,0.120173159689946,2.57958486183646,1.12755345017747,2.90861981098928
"1_1","14:16:45","9/13/2023",1,1,"00:05:29",-5.21208,265,56.34,0.1,0,0,-1.6,-24.5,0.88,6,47.6302618915389,-122.398369197637,0.0895171862139418,2.46742899827835,1.07852938712628,2.66119468529076
"1_1","14:16:53","9/13/2023",1,1,"00:05:37",-5.21208,265,56.3,0.1,0,0,-1.8,-26.7,0.91,6.13333333333333,47.6302611728964,-122.398380927752,0.120173164319139,2.55154589594693,1.11529743441468,2.84573259154091
"1_1","14:17:01","9/13/2023",1,1,"00:05:45",-5.21208,265,56.3,0.1,0,0,-1.6,-28.8,0.91,6.26666666666667,47.6302618915389,-122.39839212468,0.0895171875358586,2.55154589594693,1.11529743441468,2.84573259154091
"1_1","14:17:09","9/13/2023",1,1,"00:05:53",-5.1816,265,56.3,0.1,0,0,-1.5,-30.7,0.9,6.4,47.6302622508601,-122.398402255234,0.0801154411538719,2.5235069300574,1.10304141865188,2.78353266410836
"1_1","14:17:17","9/13/2023",1,1,"00:06:01",-5.1816,265,56.3,0.1,0,0,-1.5,-32.9,0.94,6.53333333333333,47.6302622508601,-122.398413985349,0.120173159607314,2.63566279361551,1.15206548170307,3.03645612593352
"1_1","14:17:25","9/13/2023",1,1,"00:06:09",-5.21208,265,56.3,0.1,0,0,-1.3,-34.9,0.92,6.66666666666667,47.6302629695026,-122.398424649089,0.0895171848124586,2.57958486183646,1.12755345017747,2.90861981098928
"1_1","14:17:33","9/13/2023",1,1,"00:06:17",-5.21208,265,56.3,0.1,0,0,-0.8,-36.9,0.91,6.8,47.6302647661088,-122.39843531283,0.0801154351751613,2.55154589594693,1.11529743441468,2.84573259154091
"1_1","14:17:41","9/13/2023",1,1,"00:06:25",-5.1816,264,56.3,0.1,0,0,-0.4,-38.8,0.93,6.93333333333333,47.6302662033938,-122.398445443384,0.0895171810227393,2.60762382772598,1.13980946594027,2.97219432245349
"1_1","14:17:49","9/13/2023",1,1,"00:06:33",-5.21208,264,56.3,0.1,0,0,0,-40.7,0.91,7.06666666666667,47.6302676406788,-122.398455573938,0.0895171772593169,2.55154589594693,1.11529743441468,2.84573259154091
"1_1","14:17:57","9/13/2023",1,1,"00:06:41",-5.1816,264,56.3,0,0,0,0.4,-41.7,0.93,7.2,47.6302690779637,-122.398460905808,0.040057715223636,2.60762382772598,1.13980946594027,2.97219432245349
"1_1","14:18:05","9/13/2023",1,1,"00:06:49",-5.21208,263,56.3,0.1,0,0,0.7,-43,0.91,7.33333333333333,47.6302701559275,-122.39846783724,0.0895171738862048,2.55154589594693,1.11529743441468,2.84573259154091
"1_1","14:18:13","9/13/2023",1,1,"00:06:57",-5.21208,259,56.3,0.1,0,0,0.6,-44.1,0.93,7.46666666666667,47.6302697966062,-122.398473702297,0.0895171752674242,2.60762382772598,1.13980946594027,2.97219432245349
"1_1","14:18:21","9/13/2023",1,1,"00:07:05",-5.21208,259,56.3,0,0,0,0.4,-45.9,0.91,7.6,47.6302690779637,-122.398483299664,0.0400577131435009,2.55154589594693,1.11529743441468,2.84573259154091
"1_1","14:18:29","9/13/2023",1,1,"00:07:13",-5.27304,260,56.28,0.1,0,0,0.5,-47.1,0.88,7.73333333333333,47.630269437285,-122.398489697908,0.0895171758675517,2.46742899827835,1.07852938712628,2.66119468529076
"1_1","14:18:37","9/13/2023",1,1,"00:07:21",-5.24256,260,56.28,0,0,0,1.1,-48.4,0.87,7.86666666666667,47.6302715932124,-122.39849662934,0.0565637961054076,2.43939003238882,1.06627337136348,2.6010566339057
"1_1","14:18:45","9/13/2023",1,1,"00:07:29",-5.24256,260,56.3,0,0,0,1.1,-49.4,0.86,8,47.6302715932124,-122.39850196121,0.080115426149753,2.4113510664993,1.05401735560068,2.54160587453648
"1_1","14:18:53","9/13/2023",1,1,"00:07:37",-5.24256,260,56.28,0,0,0,1.2,-50.5,0.86,8.13333333333333,47.6302719525337,-122.398507826267,0.0801154255171296,2.4113510664993,1.05401735560068,2.54160587453648
"1_1","14:19:01","9/13/2023",1,1,"00:07:45",-5.24256,260,56.28,0,0,0,1.4,-51.5,0.9,8.26666666666667,47.6302726711762,-122.398513158138,0.0801154244260828,2.5235069300574,1.10304141865188,2.78353266410836
"1_1","14:19:09","9/13/2023",1,1,"00:07:53",-5.21208,260,56.28,0.1,0,0,1.5,-53.4,0.9,8.4,47.6302730304974,-122.398523288692,0.0801154237501207,2.5235069300574,1.10304141865188,2.78353266410836
"1_1","14:19:17","9/13/2023",1,1,"00:08:01",-5.21208,260,56.28,0.1,0,0,1.6,-55.5,0.91,8.53333333333333,47.6302733898186,-122.398534485619,0.0895171684973479,2.55154589594693,1.11529743441468,2.84573259154091
"1_1","14:19:25","9/13/2023",1,1,"00:08:09",-5.21208,260,56.28,0.1,0,0,1.6,-57.1,0.87,8.66666666666667,47.6302733898186,-122.398543016612,0.0801154231400109,2.43939003238882,1.06627337136348,2.6010566339057
