time,date,site,transect,flight_time,depth,heading,temp,groundSpeed,lat,lon,DVLx,DVLy,altitude,seq,DVLlat,DVLlon,EucDIS,width,height,area
13:18:43,9/6/2023,"7","3",00:05:16,-8.5344,"161",55.54,0,"0","0",-7.2,65.7,1,141.2,47.6175297016735,-122.360078983422,"0.0893533031285725",2.80389658895267,1.22560157627986,3.43646007914613
13:18:44,9/6/2023,"7","3",00:05:17,-8.5344,"162",55.56,0,"0","0",-7.3,65.7,0.97,141.216666666667,47.6175293423523,-122.360078983422,"0.0399355257771316",2.71977969128409,1.18883352899147,3.23336528846859
13:18:45,9/6/2023,"7","3",00:05:18,-8.5344,"165",55.56,0,"0","0",-7.4,65.6,0.98,141.233333333333,47.6175289830311,-122.360079516479,"0.0565638994186185",2.74781865717362,1.20108954475427,3.30037626001194
13:18:46,9/6/2023,"7","3",00:05:19,-8.5344,"165",55.56,0.1,"0","0",-7.6,65.6,1.02,141.25,47.6175282643886,-122.360079516479,"0.0798710487565488",2.85997452073173,1.25011360780546,3.57529306634363
13:18:47,9/6/2023,"7","3",00:05:20,-8.56488,"163",55.54,0.1,"0","0",-7.8,65.6,1.05,141.266666666667,47.6175275457461,-122.360079516479,"0.0798710496888001",2.94409141840031,1.28688165509386,3.78869723725861
13:18:48,9/6/2023,"7","3",00:05:21,-8.56488,"168",55.54,0.1,"0","0",-8.1,65.7,1.02,141.283333333333,47.6175264677824,-122.360078983422,"0.126325942593795",2.85997452073173,1.25011360780546,3.57529306634363
13:18:49,9/6/2023,"7","3",00:05:22,-8.59536,"167",55.56,0.1,"0","0",-8.5,65.8,1.02,141.3,47.6175250304974,-122.360078450365,"0.164688089336229",2.85997452073173,1.25011360780546,3.57529306634363
13:18:50,9/6/2023,"7","3",00:05:23,-8.65632,"159",55.56,0.1,"0","0",-8.8,65.9,0.97,141.316666666667,47.6175239525337,-122.360077917308,"0.126325944884927",2.71977969128409,1.18883352899147,3.23336528846859
13:18:51,9/6/2023,"7","3",00:05:24,-8.71728,"162",55.56,0.1,"0","0",-9,65.9,0.94,141.333333333333,47.6175232338912,-122.360077917308,"0.0798710497012856",2.63566279361551,1.15206548170307,3.03645612593352
13:18:52,9/6/2023,"7","3",00:05:25,-8.74776,"156",55.56,0.1,"0","0",-9.3,65.9,0.9,141.35,47.6175221559275,-122.360077917308,"0.119806571758056",2.5235069300574,1.10304141865188,2.78353266410836
