time,date,site,transect,flight_time,depth,heading,temp,groundSpeed,lat,lon,DVLx,DVLy,altitude,seq,EucDIS,width,height,area,DVLlat,DVLlon
15:03:02,9/14/2023,3,3,0:08:07,-9.57072,304,55.89,0.1,47.6271,-122.3910954,-6,4.7,1.09,65.13333333,NA,3.056247282,1.335905718,4.08285822,47.627029,-122.391003
15:03:03,9/14/2023,3,3,0:08:08,-9.63168,304,55.89,0.1,47.6271005,-122.3911025,-5.8,4.4,0.95,65.15,0.144405559,2.66370176,1.164321497,3.101405221,47.62702972,-122.3910046
15:03:04,9/14/2023,3,3,0:08:09,-9.66216,304,55.89,0.1,47.6271021,-122.3911055,-5.6,4.3,0.95,65.16666667,0.089442702,2.66370176,1.164321497,3.101405221,47.62703044,-122.3910051
15:03:05,9/14/2023,3,3,0:08:10,-9.69264,304,55.85,0.1,47.6271032,-122.3911095,-5.4,4,0.82,65.18333333,0.144405556,2.299195203,1.004993293,2.310675757,47.62703116,-122.3910067
15:03:06,9/14/2023,3,3,0:08:11,-9.63168,305,55.85,0.1,47.6271056,-122.3911163,-5.3,3.7,0.79,65.2,0.126673382,2.215078305,0.968225245,2.144694735,47.62703152,-122.3910083
15:03:07,9/14/2023,3,3,0:08:12,-9.57072,304,55.85,0.1,47.6271056,-122.3911163,-5.1,3.4,0.94,65.21666667,0.144405556,2.635662794,1.152065482,3.036456126,47.62703223,-122.3910099
15:03:08,9/14/2023,3,3,0:08:13,-9.54024,304,55.85,0.1,47.6271077,-122.3911275,-5,3.1,0.99,65.23333333,0.126673383,2.775857623,1.213345561,3.368074524,47.62703259,-122.3910115
15:03:09,9/14/2023,3,3,0:08:14,-9.54024,304,55.85,0.1,47.6271096,-122.3911424,-4.8,2.9,0.81,65.25,0.113238696,2.271156237,0.992737277,2.254661458,47.62703331,-122.3910126
15:03:10,9/14/2023,3,3,0:08:15,-9.54024,304,55.85,0.1,47.6271114,-122.3911469,-4.7,2.7,0.84,65.26666667,0.089568243,2.355273135,1.029505324,2.424766232,47.62703367,-122.3910137
15:03:11,9/14/2023,3,3,0:08:16,-9.50976,304,55.85,0.1,47.6271139,-122.3911495,-4.6,2.6,0.84,65.28333333,0.05661935,2.355273135,1.029505324,2.424766232,47.62703403,-122.3910142
