time,date,site,transect,flight_time,depth,heading,temp,groundSpeed,lat,lon,DVLx,DVLy,altitude,seq,DVLlat,DVLlon,EucDIS,width,height,area
15:24:01,9/15/2023,5,4,00:30:20,-2.83464,307,55.78,0.1,47.6246919,-122.3704202,150.4,-211.8,0.84,87.3333333333333,47.6247726757756,-122.370692419461,0.126672142083884,2.35527313472024,1.02950532407509,2.42476623184551
15:24:02,9/15/2023,5,4,00:30:21,-2.83464,308,55.78,0.1,47.6246869,-122.3704343,150.4,-211.9,0.86,87.35,47.6247725827765,-122.370692934424,0.0400495143435077,2.4113510664993,1.05401735560068,2.54160587453648
15:24:03,9/15/2023,5,4,00:30:22,-2.83464,307,55.78,0.1,47.6246817,-122.3704487,150.6,-212.1,0.93,87.3666666666667,47.6247730909334,-122.370694240319,0.11321397127198,2.60762382772598,1.13980946594027,2.97219432245349
15:24:04,9/15/2023,5,4,00:30:23,-2.86512,307,55.78,0.1,47.624678,-122.3704612,150.7,-212.3,0.84,87.3833333333333,47.6247732520127,-122.37069540823,0.0895607463463675,2.35527313472024,1.02950532407509,2.42476623184551
15:24:05,9/15/2023,5,4,00:30:24,-2.86512,307,55.78,0.1,47.6246781,-122.3704701,150.9,-212.5,0.83,87.4,47.6247737601697,-122.370696714126,0.11321397081774,2.32723416883072,1.01724930831229,2.36737734852377
15:24:06,9/15/2023,5,4,00:30:25,-2.86512,307,55.78,0.1,47.6246831,-122.3704684,150.9,-212.7,0.91,87.4166666666667,47.6247735741714,-122.370697744053,0.0800990273597397,2.55154589594693,1.11529743441468,2.84573259154091
15:24:07,9/15/2023,5,4,00:30:26,-2.86512,307,55.78,0.1,47.6246947,-122.3704493,151,-213.1,0.92,87.4333333333333,47.6247735492523,-122.370699941891,0.165161925352927,2.57958486183646,1.12755345017747,2.90861981098928
15:24:08,9/15/2023,5,4,00:30:27,-2.86512,307,55.78,0.1,47.6246951,-122.3704489,151.2,-213.3,0.9,87.45,47.6247740574093,-122.370701247786,0.113213969413817,2.5235069300574,1.10304141865188,2.78353266410836
15:24:09,9/15/2023,5,4,00:30:28,-2.8956,307,55.78,0.1,47.6247013,-122.3704379,151.6,-213.4,0.87,87.4666666666667,47.6247753527208,-122.370702314686,0.164777221312731,2.43939003238882,1.06627337136348,2.6010566339057
15:24:10,9/15/2023,5,4,00:30:29,-2.8956,308,55.78,0.1,47.6246942,-122.3704575,151.8,-213.6,0.73,87.4833333333333,47.6247758608777,-122.370703620581,0.113213967593068,2.04684450993545,0.894689150684301,1.83128957617697
15:24:11,9/15/2023,5,4,00:30:30,-2.86512,307,55.78,0.1,47.624688,-122.3704746,151.9,-213.9,0.76,87.5,47.6247759289579,-122.370705303456,0.126672132145153,2.13096140760403,0.931457197972697,1.9848993417148
15:24:12,9/15/2023,5,4,00:30:31,-2.80416,307,55.78,0.1,47.6246814,-122.3704931,152.1,-214.1,0.94,87.5166666666667,47.6247764371148,-122.370706609351,0.113213965423233,2.63566279361551,1.15206548170307,3.03645612593352
15:24:13,9/15/2023,5,4,00:30:32,-2.77368,307,55.78,0.1,47.6246867,-122.3704891,152.3,-214.2,0.99,87.5333333333333,47.624777038271,-122.370707400283,0.0894189076833072,2.77585762306314,1.21334556051707,3.36807452357112
15:24:14,9/15/2023,5,4,00:30:33,-2.77368,307,55.78,0,47.6246977,-122.3704727,152.6,-214.3,0.99,87.55,47.6247779865048,-122.370708329198,0.1264046459937,2.77585762306314,1.21334556051707,3.36807452357112
15:24:15,9/15/2023,5,4,00:30:34,-2.80416,308,55.78,0.1,47.624705,-122.3704586,152.7,-214.4,0.96,87.5666666666667,47.624778240583296,-122.370708982146,0.0566069807876089,2.69174072539456,1.17657751322867,3.16704160894107
15:24:16,9/15/2023,5,4,00:30:35,-2.83464,307,55.78,0.1,47.6247056,-122.3704569,152.8,-214.6,0.95,87.5833333333333,47.6247784016626,-122.370710150057,0.0895607379748758,2.66370175950504,1.16432149746587,3.10140522142938
15:24:17,9/15/2023,5,4,00:30:36,-2.83464,307,55.78,0.1,47.6247052,-122.3704606,153,-214.8,0.96,87.6,47.6247789098196,-122.370711455952,0.113213963155828,2.69174072539456,1.17657751322867,3.16704160894107
15:24:18,9/15/2023,5,4,00:30:37,-2.83464,307,55.78,0.1,47.6247041,-122.3704632,153.1,-215.1,0.97,87.6166666666667,47.6247789778997,-122.370713138827,0.126672124796413,2.71977969128409,1.18883352899147,3.23336528846859
15:24:19,9/15/2023,5,4,00:30:38,-2.77368,307,55.78,0.1,47.6247078,-122.3704567,153.3,-215.2,1,87.6333333333333,47.6247795790559,-122.370713929759,0.0894189041889625,2.80389658895267,1.22560157627986,3.43646007914613
15:24:20,9/15/2023,5,4,00:30:39,-2.77368,307,55.76,0.1,47.6247136,-122.3704464,153.6,-215.4,0.99,87.65,47.6247804342905,-122.370715373638,0.144238274290942,2.77585762306314,1.21334556051707,3.36807452357112
