time,date,site,transect,flight_time,depth,heading,temp,groundSpeed,lat,lon,DVLx,DVLy,altitude,seq,EucDIS,width,height,area,DVLlat,DVLlon
15:42:56,10/10/2023,2,4,0:27:51,-6.46176,307,55.2,0.1,47.6271889,-122.3934777,36.2,-135.9,1.06,103.9166667,NA,2.972130384,1.299137671,3.861206545,47.627422,-122.39407
15:42:57,10/10/2023,2,4,0:27:52,-6.46176,303,55.18,0.1,47.6271869,-122.3934745,36.6,-136,0.99,103.9333333,0.164687882,2.775857623,1.213345561,3.368074524,47.62742335,-122.3940709
15:42:58,10/10/2023,2,4,0:27:53,-6.43128,298,55.18,0.1,47.6271849,-122.3934715,36.8,-136.2,1,103.95,0.113127602,2.803896589,1.225601576,3.436460079,47.62742394,-122.3940721
15:42:59,10/10/2023,2,4,0:27:54,-6.43128,300,55.18,0.1,47.6271839,-122.3934661,37,-136.3,1,103.9666667,0.089353177,2.803896589,1.225601576,3.436460079,47.62742458,-122.3940728
15:43:00,10/10/2023,2,4,0:27:55,-6.4008,296,55.18,0.1,47.6271855,-122.3934665,37.2,-136.5,1.04,103.9833333,0.1131276,2.916052453,1.274625639,3.716875222,47.62742516,-122.3940741
15:43:01,10/10/2023,2,4,0:27:56,-6.4008,292,55.18,0.1,47.627186,-122.3934657,37.4,-136.7,1.09,104,0.1131276,3.056247282,1.335905718,4.08285822,47.62742575,-122.3940753
15:43:02,10/10/2023,2,4,0:27:57,-6.4008,285,55.17,0.1,47.6271864,-122.3934637,37.7,-136.9,1.15,104.0166667,0.144125171,3.224481077,1.409441813,4.544718455,47.62742668,-122.3940766
15:43:03,10/10/2023,2,4,0:27:58,-6.4008,280,55.17,0.1,47.6271895,-122.3934643,38,-137.2,1.16,104.0333333,0.169691395,3.252520043,1.421697828,4.624100682,47.62742756,-122.3940785
15:43:04,10/10/2023,2,4,0:27:59,-6.4008,283,55.17,0.1,47.6271966,-122.3934664,38.2,-137.4,1.17,104.05,0.113127597,3.280559009,1.433953844,4.704170202,47.62742814,-122.3940797
15:43:05,10/10/2023,2,4,0:28:00,-6.37032,284,55.17,0.1,47.6272022,-122.3934688,38.4,-137.7,1.17,104.0666667,0.144294689,3.280559009,1.433953844,4.704170202,47.62742866,-122.3940815
15:43:06,10/10/2023,2,4,0:28:01,-6.37032,283,55.18,0.1,47.6272048,-122.3934689,38.5,-138.2,1.21,104.0833333,0.204231153,3.392714873,1.482977907,5.031321202,47.6274287,-122.3940842
15:43:07,10/10/2023,2,4,0:28:02,-6.4008,283,55.17,0.1,47.6272063,-122.3934693,38.5,-138.5,1.13,104.1,0.120173157,3.168403146,1.384929781,4.388015875,47.62742852,-122.3940858
15:43:08,10/10/2023,2,4,0:28:03,-6.4008,282,55.17,0.1,47.6272065,-122.3934682,38.4,-138.7,0.93,104.1166667,0.089517182,2.607623828,1.139809466,2.972194322,47.62742804,-122.3940867
15:43:09,10/10/2023,2,4,0:28:04,-6.37032,282,55.17,0.1,47.6272071,-122.3934682,38.4,-139.1,0.94,104.1333333,0.160230878,2.635662794,1.152065482,3.036456126,47.62742779,-122.3940888
15:43:10,10/10/2023,2,4,0:28:05,-6.37032,281,55.17,0.1,47.6272047,-122.3934659,38.5,-139.4,1,104.15,0.126635027,2.803896589,1.225601576,3.436460079,47.62742795,-122.3940905
15:43:11,10/10/2023,2,4,0:28:06,-6.37032,282,55.15,0.1,47.6272068,-122.3934662,38.6,-139.8,0.99,104.1666667,0.165132599,2.775857623,1.213345561,3.368074524,47.62742806,-122.3940927
15:43:12,10/10/2023,2,4,0:28:07,-6.37032,283,55.15,0.1,47.627208,-122.3934667,38.7,-140.1,0.79,104.1833333,0.126635027,2.215078305,0.968225245,2.144694735,47.62742823,-122.3940944
15:43:13,10/10/2023,2,4,0:28:08,-6.37032,282,55.15,0,47.6272133,-122.3934702,38.7,-140.2,0.78,104.2,0.040057718,2.187039339,0.955969229,2.090742312,47.62742816,-122.3940949
15:43:14,10/10/2023,2,4,0:28:09,-6.37032,281,55.15,0.1,47.6272209,-122.3934758,38.7,-140.3,0.77,104.2166667,0.040057718,2.159000373,0.943713214,2.037477181,47.6274281,-122.3940954
15:43:15,10/10/2023,2,4,0:28:10,-6.37032,281,55.15,0.1,47.6272237,-122.3934764,38.8,-140.5,0.78,104.2333333,0.089517181,2.187039339,0.955969229,2.090742312,47.62742833,-122.3940966
15:43:16,10/10/2023,2,4,0:28:11,-6.37032,281,55.15,0.1,47.6272209,-122.3934718,38.9,-140.8,0.79,104.25,0.126635023,2.215078305,0.968225245,2.144694735,47.6274285,-122.3940982
15:43:17,10/10/2023,2,4,0:28:12,-6.33984,282,55.15,0.1,47.6272196,-122.3934701,39,-141,0.79,104.2666667,0.08951718,2.215078305,0.968225245,2.144694735,47.62742873,-122.3940994
15:43:18,10/10/2023,2,4,0:28:13,-6.33984,281,55.13,0.1,47.6272175,-122.3934674,39,-141.3,0.81,104.2833333,0.120173152,2.271156237,0.992737277,2.254661458,47.62742854,-122.3941009
15:43:19,10/10/2023,2,4,0:28:14,-6.33984,281,55.13,0.1,47.627214,-122.3934632,39.1,-141.6,0.83,104.3,0.126635024,2.327234169,1.017249308,2.367377349,47.62742871,-122.3941026
15:43:20,10/10/2023,2,4,0:28:15,-6.30936,281,55.13,0.1,47.6272124,-122.3934612,39.2,-141.8,0.82,104.3166667,0.089517176,2.299195203,1.004993293,2.310675757,47.62742893,-122.3941038
15:43:21,10/10/2023,2,4,0:28:16,-6.30936,281,55.13,0.1,47.6272076,-122.3934571,39.3,-142,0.82,104.3333333,0.089517177,2.299195203,1.004993293,2.310675757,47.62742916,-122.3941049
15:43:22,10/10/2023,2,4,0:28:17,-6.30936,283,55.13,0.1,47.6272042,-122.3934529,39.5,-142.1,1.08,104.35,0.089353176,3.028208316,1.323649702,4.008287036,47.62742981,-122.3941056
15:43:23,10/10/2023,2,4,0:28:18,-6.30936,283,55.13,0.1,47.6272043,-122.3934535,39.6,-142.3,1.08,104.3666667,0.089517175,3.028208316,1.323649702,4.008287036,47.62743004,-122.3941068
15:43:24,10/10/2023,2,4,0:28:19,-6.27888,283,55.11,0,47.627207,-122.3934564,39.6,-142.5,1.1,104.3833333,0.080115432,3.084286248,1.348161734,4.158116696,47.62742991,-122.3941078
15:43:25,10/10/2023,2,4,0:28:20,-6.21792,282,55.11,0.1,47.6272084,-122.3934573,39.6,-142.6,1.14,104.4,0.040057717,3.196442111,1.397185797,4.466023519,47.62742985,-122.3941083
15:43:26,10/10/2023,2,4,0:28:21,-6.18744,282,55.11,0.1,47.6272078,-122.3934553,39.7,-142.8,1.2,104.4166667,0.089517174,3.364675907,1.470721892,4.948502514,47.62743008,-122.3941095
15:43:27,10/10/2023,2,4,0:28:22,-6.12648,283,55.11,0.1,47.6272143,-122.3934606,39.8,-143,1.26,104.4333333,0.089517175,3.532909702,1.544257986,5.455724022,47.62743031,-122.3941106
15:43:28,10/10/2023,2,4,0:28:23,-6.06552,283,55.11,0,47.6272204,-122.3934652,39.9,-143.2,1.35,104.45,0.089517175,3.785260395,1.654562128,6.262948494,47.62743054,-122.3941118
15:43:29,10/10/2023,2,4,0:28:24,-6.00456,283,55.11,0.1,47.6272232,-122.393466,40,-143.4,1.17,104.4666667,0.089517173,3.280559009,1.433953844,4.704170202,47.62743077,-122.3941129
15:43:30,10/10/2023,2,4,0:28:25,-5.9436,282,55.11,0.1,47.6272241,-122.3934653,40.1,-143.5,1.21,104.4833333,0.056563794,3.392714873,1.482977907,5.031321202,47.62743106,-122.3941135
15:43:31,10/10/2023,2,4,0:28:26,-5.88264,282,55.11,0.1,47.6272266,-122.3934658,40.2,-143.8,1.34,104.5,0.126635013,3.757221429,1.642306112,6.170507718,47.62743123,-122.3941152
15:43:32,10/10/2023,2,4,0:28:27,-5.82168,281,55.11,0.1,47.6272276,-122.3934646,40.4,-144.1,1.22,104.5166667,0.144294675,3.420753839,1.495233923,5.114827182,47.62743175,-122.3941169
15:43:33,10/10/2023,2,4,0:28:28,-5.76072,282,55.13,0.1,47.6272316,-122.3934674,40.5,-144.4,1.21,104.5333333,0.126635011,3.392714873,1.482977907,5.031321202,47.62743191,-122.3941186
15:43:34,10/10/2023,2,4,0:28:29,-5.69976,282,55.11,0.1,47.6272336,-122.3934658,40.7,-144.6,1.27,104.55,0.113127586,3.560948668,1.556514002,5.542666462,47.6274325,-122.3941198
15:43:35,10/10/2023,2,4,0:28:30,-5.66928,282,55.13,0.1,47.6272338,-122.3934643,40.8,-144.9,1.31,104.5666667,0.126635008,3.673104532,1.605538065,5.897309142,47.62743266,-122.3941215
15:43:36,10/10/2023,2,4,0:28:31,-5.6388,282,55.13,0.1,47.6272351,-122.3934652,40.9,-145.2,1.33,104.5833333,0.126635007,3.729182463,1.630050096,6.078754234,47.62743283,-122.3941232
15:43:37,10/10/2023,2,4,0:28:32,-5.57784,283,55.13,0.1,47.627235,-122.393464,41,-145.5,1.26,104.6,0.126635009,3.532909702,1.544257986,5.455724022,47.627433,-122.3941248
15:43:38,10/10/2023,2,4,0:28:33,-5.51688,283,55.15,0.1,47.6272324,-122.3934593,41.1,-145.8,1.03,104.6166667,0.126635006,2.888013487,1.262369624,3.645740498,47.62743316,-122.3941265
15:43:39,10/10/2023,2,4,0:28:34,-5.45592,282,55.15,0.1,47.6272288,-122.3934546,41.2,-146,0.81,104.6333333,0.089517168,2.271156237,0.992737277,2.254661458,47.62743339,-122.3941277
