time,date,site,transect,flight_time,depth,heading,temp,groundSpeed,lat,lon,DVLx,DVLy,altitude,seq,DVLlat,DVLlon,EucDIS,width,height,area
14:30:25,9/15/2023,5,2,00:20:53,-4.84632,304,56.23,0,47.6245074,-122.3700196,82.9,-166.8,1.2,33.7666666666667,47.624554,-122.37019600000001,NA,3.36467590674321,1.47072189153584,4.94850251397042
14:30:26,9/15/2023,5,2,00:20:54,-4.8768,303,56.23,0,47.6245065,-122.3700175,82.9,-166.8,1.16,33.7833333333333,47.624554,-122.37019600000001,0,3.2525200431851,1.42169782848464,4.62410068249903
14:30:27,9/15/2023,5,2,00:20:55,-4.90728,303,56.23,0,47.6245063,-122.3700175,82.9,-166.8,1.12,33.8,47.624554,-122.37019600000001,0,3.14036417962699,1.37267376543345,4.3106955232809
14:30:28,9/15/2023,5,2,00:20:56,-4.93776,303,56.23,0,47.6245063,-122.3700175,82.9,-166.8,1.09,33.8166666666667,47.624554,-122.37019600000001,0,3.05624728195841,1.33590571814505,4.08285822003351
14:30:29,9/15/2023,5,2,00:20:57,-4.96824,303,56.23,0,47.6245064,-122.3700273,82.8,-166.9,1.05,33.8333333333333,47.6245535394534,-122.370196318636,0.0565083008300144,2.94409141840031,1.28688165509386,3.78869723725861
14:30:30,9/15/2023,5,2,00:20:58,-4.96824,303,56.23,0,47.6245052,-122.3700229,82.8,-166.9,1.06,33.85,47.6245535394534,-122.370196318636,0,2.97213038428983,1.29913767085666,3.86120654492859
14:30:31,9/15/2023,5,2,00:20:59,-4.99872,303,56.23,0,47.6245036,-122.3700177,82.8,-166.9,1.05,33.8666666666667,47.6245535394534,-122.370196318636,0,2.94409141840031,1.28688165509386,3.78869723725861
14:30:32,9/15/2023,5,2,00:21:00,-4.99872,303,56.23,0,47.624502,-122.370012,82.7,-166.9,1.04,33.8833333333333,47.6245532018019,-122.370196136296,0.0399498600352053,2.91605245251078,1.27462563933106,3.71687522160445
14:30:33,9/15/2023,5,2,00:21:01,-4.99872,303,56.23,0,47.624502,-122.370012,82.7,-167,1.05,33.9,47.6245530789068,-122.370196637273,0.0400435149401726,2.94409141840031,1.28688165509386,3.78869723725861
14:30:34,9/15/2023,5,2,00:21:02,-4.99872,303,56.21,0,47.6244998,-122.3700046,82.6,-167,1.04,33.9166666666667,47.6245527412552,-122.370196454932,0.0399498609074261,2.91605245251078,1.27462563933106,3.71687522160445
14:30:35,9/15/2023,5,2,00:21:03,-4.99872,303,56.23,0,47.6244967,-122.3700008,82.6,-167.1,1.05,33.9333333333333,47.6245526183601,-122.370196955909,0.0400435171223241,2.94409141840031,1.28688165509386,3.78869723725861
14:30:36,9/15/2023,5,2,00:21:04,-4.96824,301,56.23,0,47.6244968,-122.3700023,82.6,-167.1,1.07,33.95,47.6245526183601,-122.370196955909,0,3.00016935017936,1.31139368661945,3.9344031446144
14:30:37,9/15/2023,5,2,00:21:05,-4.96824,302,56.23,0,47.6244953,-122.36999900000001,82.5,-167.2,1.07,33.9666666666667,47.6245521578135,-122.370197274546,0.0565083030082225,3.00016935017936,1.31139368661945,3.9344031446144
14:30:38,9/15/2023,5,2,00:21:06,-4.96824,303,56.23,0,47.6244948,-122.3699954,82.6,-167.2,1.08,33.9833333333333,47.624552495465,-122.370197456886,0.039949859953584,3.02820831606889,1.32364970238225,4.00828703631604
14:30:39,9/15/2023,5,2,00:21:07,-4.93776,302,56.21,0,47.6244948,-122.3699954,82.6,-167.2,1.08,34,47.624552495465,-122.370197456886,0,3.02820831606889,1.32364970238225,4.00828703631604
14:30:40,9/15/2023,5,2,00:21:08,-4.93776,302,56.21,0,47.6244931,-122.3699939,82.5,-167.3,1.09,34.0166666666667,47.6245520349184,-122.370197775523,0.0565082998149646,3.05624728195841,1.33590571814505,4.08285822003351
14:30:41,9/15/2023,5,2,00:21:09,-4.90728,302,56.21,0,47.6244918,-122.3699914,82.5,-167.4,1.11,34.0333333333333,47.6245519120233,-122.3701982765,0.0400435185356188,3.11232521373747,1.36041774967065,4.23406246351595
14:30:42,9/15/2023,5,2,00:21:10,-4.90728,302,56.21,0,47.6244927,-122.3699969,82.5,-167.4,1.12,34.05,47.6245519120233,-122.3701982765,0,3.14036417962699,1.37267376543345,4.3106955232809
14:30:43,9/15/2023,5,2,00:21:11,-4.8768,302,56.23,0,47.6244931,-122.3699997,82.5,-167.5,1.14,34.0666666666667,47.6245517891282,-122.370198777477,0.040043518210848,3.19644211140605,1.39718579695904,4.46602351885831
14:30:44,9/15/2023,5,2,00:21:12,-4.84632,302,56.21,0,47.624493,-122.3699999,82.5,-167.5,1.14,34.0833333333333,47.6245517891282,-122.370198777477,0,3.19644211140605,1.39718579695904,4.46602351885831
14:30:45,9/15/2023,5,2,00:21:13,-4.81584,302,56.21,0,47.6244923,-122.3699982,82.5,-167.6,1.14,34.1,47.6245516662331,-122.370199278454,0.0400435163585711,3.19644211140605,1.39718579695904,4.46602351885831
