time,date,site,transect,flight_time,depth,heading,temp,groundSpeed,lat,lon,DVLx,DVLy,altitude,seq,EucDIS,width,height,area,DVLlat,DVLlon
11:46:48,10/10/2023,4,3,0:03:39,-7.4676,33,55.17,0,47.6270452,-122.3898917,-3.1,2.5,1.23,51.48333333,NA,3.448792804,1.507489939,5.199020454,47.62701,-122.389914
11:46:49,10/10/2023,4,3,0:03:40,-7.65048,34,55.15,0,47.6270439,-122.3898903,-3.2,2.4,1.1,51.5,0.056563818,3.084286248,1.348161734,4.158116696,47.62700958,-122.3899144
11:46:50,10/10/2023,4,3,0:03:41,-7.74192,33,55.15,0,47.6270434,-122.3898961,-3.2,2.4,1.03,51.51666667,0,2.888013487,1.262369624,3.645740498,47.62700958,-122.3899144
11:46:51,10/10/2023,4,3,0:03:42,-7.68096,35,55.15,0,47.6270412,-122.3898942,-3.3,2.4,1.07,51.53333333,0.039935487,3.00016935,1.311393687,3.934403145,47.62700923,-122.3899143
11:46:52,10/10/2023,4,3,0:03:43,-7.62,34,55.15,0,47.6270403,-122.3898961,-3.3,2.4,1.09,51.55,0,3.056247282,1.335905718,4.08285822,47.62700923,-122.3899143
11:46:53,10/10/2023,4,3,0:03:44,-7.55904,35,55.15,0.1,47.6270412,-122.3899046,-3.2,2.5,1.15,51.56666667,0.056563818,3.224481077,1.409441813,4.544718455,47.62700965,-122.3899139
11:46:54,10/10/2023,4,3,0:03:45,-7.49808,35,55.15,0.1,47.6270401,-122.3899071,-3.1,2.9,1.13,51.58333333,0.165132675,3.168403146,1.384929781,4.388015875,47.62701025,-122.3899119
11:46:55,10/10/2023,4,3,0:03:46,-7.37616,35,55.15,0.1,47.6270391,-122.3899026,-3,3.1,1.29,51.6,0.089517219,3.6170266,1.581026033,5.718613218,47.62701073,-122.3899109
11:46:56,10/10/2023,4,3,0:03:47,-7.3152,35,55.15,0.1,47.6270371,-122.3898979,-2.8,3.3,1.33,51.61666667,0.113127634,3.729182463,1.630050096,6.078754234,47.62701156,-122.3899101
11:46:57,10/10/2023,4,3,0:03:48,-7.19328,35,55.13,0.1,47.6270358,-122.3898937,-2.6,3.6,1.28,51.63333333,0.144294743,3.588987634,1.568770018,5.630296194,47.62701246,-122.3899087
11:46:58,10/10/2023,4,3,0:03:49,-7.1628,35,55.13,0.1,47.6270367,-122.3899014,-2.2,3.8,1.24,51.65,0.178706405,3.47683177,1.519745955,5.283901018,47.627014,-122.389908
11:46:59,10/10/2023,4,3,0:03:50,-7.19328,35,55.13,0.1,47.6270363,-122.3899013,-1.9,4,1.11,51.66666667,0.144125215,3.112325214,1.36041775,4.234062464,47.62701518,-122.3899072
11:47:00,10/10/2023,4,3,0:03:51,-7.28472,36,55.13,0,47.6270378,-122.3899099,-1.6,4.1,1.06,51.68333333,0.12632581,2.972130384,1.299137671,3.861206545,47.62701631,-122.389907
11:47:01,10/10/2023,4,3,0:03:52,-7.34568,36,55.13,0.1,47.6270413,-122.389926,-1.5,4.2,0.96,51.7,0.056563814,2.691740725,1.176577513,3.167041609,47.62701672,-122.3899066
11:47:02,10/10/2023,4,3,0:03:53,-7.43712,36,55.13,0,47.6270425,-122.3899326,-1.3,4.1,0.79,51.71666667,0.089353201,2.215078305,0.968225245,2.144694735,47.62701737,-122.3899073
11:47:03,10/10/2023,4,3,0:03:54,-7.43712,33,55.13,0,47.6270416,-122.3899343,-1.2,4.1,0.74,51.73333333,0.039935489,2.074883476,0.906945166,1.881805539,47.62701772,-122.3899074
